perf_id,title,genre,venue_name,perf_start_date,perf_end_date,total_ticket_sales_qty,verified_video_count
PF264065,국립민속국악원 어린이날 기획공연: 별이와 무지개다리,뮤지컬,국립민속국악원 예원당,2025-05-05,2025-05-05,201,1
PF225183,친절한 돼지씨 [부안],한국음악(국악),부안예술회관 공연장,2023-09-08,2023-09-08,201,1
PF271726,"국립남도국악원 토요상설, 국악이 좋다: 허창열의 탈, 굿",한국음악(국악),국립남도국악원 진악당,2025-08-23,2025-08-23,201,0
PF241315,순정대학x밀당대학 [전북 완주],서양음악(클래식),완주문화예술회관 대극장,2024-05-31,2024-05-31,201,0
PF284727,"창작희곡공모 선정작 낭독공연, 극동아시아 요리 연구",연극,국립극단 [명동] 명동예술극장,2026-02-26,2026-02-26,200,1
PF270041,스프레이 [양주],연극,양주문화예술회관 소공연장,2025-08-23,2025-08-23,200,2
PF292662,빨간기타 [장수],뮤지컬,장수한누리전당 소공연장,2026-06-02,2026-06-02,200,0
PF289898,똥벼락 [장수],한국음악(국악),장수한누리전당 소공연장,2026-04-24,2026-04-24,200,0
PF249277,"대한민국은 공연중, 극단홍시: 이별의 말도 없이",연극,예술의전당 [서울] 자유소극장,2024-10-26,2024-10-27,200,1
PF267141,"대구시립교향악단, 체임버 시리즈 Ⅱ. 윈드 온 스트링스",서양음악(클래식),비원뮤직홀 콘서트홀,2025-06-17,2025-06-17,200,2
PF282652,"대전시립교향악단 디스커버리 시리즈 1, 당.신.들: 당신의 신청곡을 들려드립니다",서양음악(클래식),대전예술의전당 앙상블홀,2026-01-22,2026-01-23,200,0
PF249443,"대한민국은 공연중, 안다미로아트컴퍼니: 문",무용(서양/한국무용),예술의전당 [서울] 자유소극장,2024-11-10,2024-11-10,200,2
PF245772,걷다 바라보다 그리고 서다 [제주],무용(서양/한국무용),제주아트센터 대극장,2024-08-18,2024-08-18,199,1
PF283942,"국립심포니콘서트오케스트라, 멘델스존, 교향곡 3번 스코틀랜드 [세종]",서양음악(클래식),세종문화예술회관 대공연장,2026-02-12,2026-02-12,199,1
PF280322,부산시립무용단 특별공연: 홀로홀춤 with 움트다,무용(서양/한국무용),부산문화회관 중극장,2025-12-05,2025-12-06,198,2
PF264658,"부산시립교향악단 예술교육공연, 우리아이 음악회",서양음악(클래식),부산문화회관 중극장,2025-05-09,2025-05-09,198,0
PF222391,발레 메카닉 [강동],복합,강동아트센터 소극장 드림,2023-08-19,2023-08-20,198,2
PF246187,진호의 책방 [의성],서양음악(클래식),의성문화회관,2024-08-20,2024-08-20,198,0
PF277721,줄타는 아이와 아프리카 도마뱀 [군산],한국음악(국악),군산예술의전당 소공연장,2025-11-29,2025-11-29,197,0
PF242639,"제15회 대한민국 국공립극단 페스티벌, 창작희곡의 발견",연극,경주예술의전당 소공연장(원화홀),2024-06-28,2024-06-29,197,0
PF284734,"창작희곡공모 선정작 낭독공연, 모노텔",연극,국립극단 [명동] 명동예술극장,2026-02-28,2026-02-28,197,0
PF268184,몬드리안: 더 라인 오브 옵세션 [수원],무용(서양/한국무용),수원문화원 (빛누리아트홀) 수원문화원 (빛누리아트홀) ,2025-07-26,2025-07-26,197,2
PF261097,고래바위에서 기다려 [양평],연극,양평문화재단 씨어터 양평,2025-04-12,2025-04-12,197,2
PF249276,"대한민국은 공연중, 극단 파람불: 옥이가 오면",연극,예술의전당 [서울] 자유소극장,2024-11-08,2024-11-08,197,2
PF235151,춘천시립예술단 정기회원 음악회,서양음악(클래식),춘천문화예술회관 공연장,2024-02-29,2024-02-29,196,1
PF248964,"공명콘서트, 별 헤는 밤 빼앗긴 들에서 꽃처럼 침묵을 깨다 [군산]",한국음악(국악),군산예술의전당 대공연장,2024-09-28,2024-09-28,195,0
PF272718,스트라빈스키의 병사이야기 [강릉],복합,강릉아트센터 (구. 강릉문화예술관) 소공연장,2025-10-01,2025-10-01,195,1
PF243451,"대전시립교향악단, 디스커버리 시리즈 7: 신인발굴 음악회",서양음악(클래식),대전예술의전당 앙상블홀,2024-07-25,2024-07-25,195,0
PF268034,"부산시립무용단 Dancers and Masterpiece Vol.4, 이정윤의 댄스살롱: 별이 빛나는 쌍쌍",무용(서양/한국무용),부산문화회관 중극장,2025-07-11,2025-07-12,194,0
PF246102,배소고지 이야기: 기억의 연못 [부산],연극,(재) 영화의전당 하늘연극장,2024-09-21,2024-09-21,194,2
PF288284,"ACC x QUAD 기언치, 봄: 헉_Hug [서울]",무용(서양/한국무용),서울문화재단 대학로극장 쿼드 (예술청) 대학로극장 쿼드 (예술청) ,2026-05-08,2026-05-09,194,0
PF223138,"제23회 SPAF, 싸움의 기술, 졸 2.0",연극,여행자극장,2023-10-12,2023-10-15,193,0
PF265723,"대전시립연정국악단, 토요국악 (06.14)",한국음악(국악),대전시립연정국악원 작은마당,2025-06-14,2025-06-14,193,0
PF269035,"BAC 초이스 Ⅴ 2인 가극, 아파트",서양음악(클래식),부천아트센터 소공연장,2025-09-27,2025-09-28,193,2
PF246064,타악 & DJ퍼포먼스: BEAT OF SCHOOL,복합,전주한벽문화관 한벽공연장,2024-08-13,2024-08-14,193,0
PF271656,춤추는 은빛 초상화 [하남],연극,하남문화예술회관 아랑홀(소극장),2025-09-06,2025-09-06,192,0
PF252078,대단한 놀이판: 오늘의 광대 [밀양],한국음악(국악),밀양아리랑아트센터 대공연장,2024-11-16,2024-11-16,192,1
PF247486,말뚝이 가라사대 [울산],서양음악(클래식),울산중구문화의전당 함월홀 (2층) ,2024-10-11,2024-10-11,192,2
PF263621,"대전시립교향악단 디스커버리 시리즈4, 시네마 클래식 [대전]",서양음악(클래식),대전예술의전당 앙상블홀,2025-05-08,2025-05-09,192,0
PF246895,디토 체임버 뮤직 소사이어티: 바흐학 개론 [천안],서양음악(클래식),천안시성환문화회관 대공연장,2024-10-04,2024-10-05,192,0
PF252309,"강동예술인페스티벌, 구립무용단",무용(서양/한국무용),강동아트센터 소극장 드림,2024-10-26,2024-10-26,192,0
PF249660,한빛오케스트라와 함께하는 희망음악회 [산청],서양음악(클래식),산청문화예술회관 대공연장,2024-10-17,2024-10-17,192,0
PF245463,눈으로 보자 귀로 듣자 타악기야 놀자! [인천],서양음악(클래식),청라복합문화센터 블루노바홀 공연장,2024-08-21,2024-08-21,192,0
PF251694,제9회 강동구소년소녀합창단 정기연주회,서양음악(클래식),강동아트센터 소극장 드림,2024-11-03,2024-11-03,192,0
PF288709,"국립남도국악원 토요상설: 국악이 좋다, 삶의 노래: 농요",한국음악(국악),국립남도국악원 진악당,2026-05-16,2026-05-16,192,0
PF239962,에코백 [보성],복합,보성군문화예술회관,2024-05-14,2024-05-14,191,1
PF245040,보물섬을 찾아 떠나보세! [연천],한국음악(국악),연천수레울아트홀 대공연장,2024-08-30,2024-08-30,191,0
PF291384,강아지똥 [부산],연극,부산민주공원 공연장 큰방(중극장),2026-06-20,2026-06-20,191,1
PF277525,대전시립합창단 기획연주회 Ⅶ. 세계음악시리즈: 재즈 인 블루,복합,대전예술의전당 앙상블홀,2025-11-14,2025-11-14,191,0
PF237576,"광주시립합창단 기획연주회 Ⅱ: 합창을 화합의 장으로, 합창을 화합의 도구로",서양음악(클래식),전일빌딩245 다목적강당,2024-04-16,2024-04-16,191,1
PF263431,"ASAC 클래식, 김영욱 X 콜레기움무지쿰: 8 Seasons [안산]",서양음악(클래식),안산문화예술의전당 달맞이극장,2025-06-21,2025-06-21,191,0
PF288706,"국립남도국악원 토요상설: 국악이 좋다, 가무극 날 좀 보소",한국음악(국악),국립남도국악원 진악당,2026-05-09,2026-05-09,190,2
PF245058,"국립현대무용단, 코레오 커넥션 1: 박재현 수선되는 밤 X 정진아 아니요, 네 [세종]",무용(서양/한국무용),세종예술의전당 대공연장,2024-09-25,2024-09-25,189,2
PF272329,"대전시립연정국악원 K브런치 콘서트, 우.아.한: 도치 (10.29)",한국음악(국악),대전시립연정국악원 작은마당,2025-10-29,2025-10-29,189,0
PF244466,신 별주부전 [천안],서양음악(클래식),천안예술의전당 대공연장,2024-09-12,2024-09-12,189,2
PF290288,판소리 시 (詩) 네마 오페라: 소월 [인천],복합,문학시어터,2026-05-29,2026-05-30,189,0
PF278265,"대전시립교향악단 디스커버리 시리즈 7, 신인발굴 음악회 [대전]",서양음악(클래식),대전예술의전당 앙상블홀,2025-11-12,2025-11-12,189,0
PF261073,올라비올라의 B to B [연천],서양음악(클래식),연천수레울아트홀 대공연장,2025-04-12,2025-04-12,188,0
PF250292,제75회 부산시립청소년교향악단 정기연주회,서양음악(클래식),부산문화회관 대극장,2024-11-29,2024-11-29,188,0
PF246273,"제24회 SPAF, 미나미무라 치사토: 침묵 속에 기록된",무용(서양/한국무용),아르코예술극장 소극장,2024-10-17,2024-10-18,188,0
PF252550,"전남도립국악단 교류공연, 국악이음: 광주시립창극단",한국음악(국악),남도소리울림터,2024-11-16,2024-11-16,188,0
PF289218,"사물놀이 몰개, Sound Project: 파랑 [충주]",한국음악(국악),충주시문화회관,2026-04-30,2026-04-30,188,0
PF254563,한빛오케스트라와 함께하는 희망음악회 [구리],서양음악(클래식),구리아트홀 코스모스대극장,2024-12-07,2024-12-07,187,1
PF241359,모차르트의 마법 바이올린 [남해],서양음악(클래식),남해문화센터 (구. 남해군문화체육센터) 다목적홀,2024-06-04,2024-06-04,186,0
PF275926,"국립남도국악원 토요상설, 국악이 좋다: 소고 놀음 허튼",한국음악(국악),국립남도국악원 진악당,2025-11-01,2025-11-01,186,0
PF272213,"리: 바운드 축제, 개똥이와 무등산 호랑이",한국음악(국악),노원어린이극장 (구.노원어울림극장) 노원어린이극장 (구.노원어울림극장) ,2025-11-02,2025-11-02,185,0
PF244670,배소고지 이야기: 기억의 연못 [논산],연극,논산아트센터(구. 논산문화예술회관) 대공연장,2024-07-19,2024-07-20,185,0
