video_id,matched_perf_id,matched_title,video_title,high_confidence_other_work,low_confidence_other_work,video_url,confidence
xx2QYqqKnyg,PF248278,이희문 프로젝트: 오방신과 스팽글 [대구],이희문 프로젝트 공연 후,,"[('PF288988', '오방신과')]",https://www.youtube.com/watch?v=xx2QYqqKnyg,low
fWXxRmpo_vU,PF279328,"국립창극단, 절창 Ⅵ",국립창극단 ‘절창Ⅵ’ | 인터뷰 Interview,,"[('PF269547', '심청')]",https://www.youtube.com/watch?v=fWXxRmpo_vU,low
_Dco57Ef7rE,PF245071,"국립현대무용단, 코레오 커넥션 3: 어린이 무용 얍! 얍! 얍! [세종]",[#shorts] 세홍이가 소개하는 10월 첫째주 세종시 문화예술 소식🧡,,"[('PF238655', '얍! 얍! 얍!'), ('PF261980', '얍! 얍! 얍!'), ('PF251353', '얍! 얍! 얍!'), ('PF286382', '얍! 얍! 얍!'), ('PF258014', '얍! 얍! 얍!'), ('PF264191', '얍! 얍! 얍!'), ('PF269581', '코레오 커넥션'), ('PF262108', '얍! 얍! 얍!'), ('PF257339', '얍! 얍! 얍!'), ('PF260944', '얍! 얍! 얍!'), ('PF287990', '얍! 얍! 얍!'), ('PF290570', '얍! 얍! 얍!')]",https://www.youtube.com/watch?v=_Dco57Ef7rE,low
Xzvyb4vxnzs,PF286382,"국립현대무용단, 얍! 얍! 얍! [창원]",&#39;얍! 얍! 얍!&#39; 어린이날 특별 초대 메시지 💌,,"[('PF245071', '어린이 무용 얍! 얍! 얍!')]",https://www.youtube.com/watch?v=Xzvyb4vxnzs,low
uP1FNBPvat8,PF269558,"국립무용단, 거장의 숨결 Ⅱ: 김현자, 조흥동 [서울]",[4K] 251221 국립무용단 거장의 숨결2 매화를 바라보다 커튼콜 ,,"[('PF269631', '국수호')]",https://www.youtube.com/watch?v=uP1FNBPvat8,low
LaNSHFd6ARo,PF257847,"서울시국악관현악단, 믹스드 오케스트라: 넥스트 레벨",국악 X 오케스트라,,"[('PF282099', '믹스드 오케스트라')]",https://www.youtube.com/watch?v=LaNSHFd6ARo,low
EQLZH2T4qP4,PF257847,"서울시국악관현악단, 믹스드 오케스트라: 넥스트 레벨",서울시국악관현악단 상주작곡가 김현섭 ‘한양 굿 주제에 의한 국악관현악 대안주(大按酒)’ | 세종문화회관,,"[('PF282099', '믹스드 오케스트라')]",https://www.youtube.com/watch?v=EQLZH2T4qP4,low
jS1OYljMIOY,PF257847,"서울시국악관현악단, 믹스드 오케스트라: 넥스트 레벨",[EVENT] 중전의 출근길👑 중전 뱃지 증정 이벤트 공지 | 세종문화회관,,"[('PF282099', '믹스드 오케스트라')]",https://www.youtube.com/watch?v=jS1OYljMIOY,low
AQjjH2AIpxg,PF257847,"서울시국악관현악단, 믹스드 오케스트라: 넥스트 레벨",서울시국악관현악단 상주작곡가 이고운 ‘국악관현악을 위한 무천(舞天)’ | 세종문화회관,,"[('PF282099', '믹스드 오케스트라')]",https://www.youtube.com/watch?v=AQjjH2AIpxg,low
nUrogAP_MNE,PF257847,"서울시국악관현악단, 믹스드 오케스트라: 넥스트 레벨",[playlist] 깨어나보니 내가 북부장군의 최애 말?,,"[('PF282099', '믹스드 오케스트라')]",https://www.youtube.com/watch?v=nUrogAP_MNE,low
IOffk7tLNP4,PF257847,"서울시국악관현악단, 믹스드 오케스트라: 넥스트 레벨",작곡가 장석진 X 거문고 박다울의 만남💫 거문고 협주곡 Axiom | 세종문화회관,,"[('PF282099', '믹스드 오케스트라')]",https://www.youtube.com/watch?v=IOffk7tLNP4,low
T6nxDIr0X7A,PF257847,"서울시국악관현악단, 믹스드 오케스트라: 넥스트 레벨","[국악무대] 거문고 협주곡 (작곡_장석진, 거문고_박다울)",,"[('PF282099', '믹스드 오케스트라')]",https://www.youtube.com/watch?v=T6nxDIr0X7A,low
Fg36TWvMrj0,PF257847,"서울시국악관현악단, 믹스드 오케스트라: 넥스트 레벨",[국악무대] 만춘곡 (작곡_지영희),,"[('PF282099', '믹스드 오케스트라')]",https://www.youtube.com/watch?v=Fg36TWvMrj0,low
1vVU-OrQCxo,PF269744,"국립창극단, 송년음악회: 어질더질",#김준수 #송년음악회 20251231 국립창극단송년음악회어질더질#소리꾼김준수#국악인김준수#국립창극단송년음악회#어질더질#베니스의상인들#어질더질커튼콜,,"[('PF253959', '베니스의 상인들')]",https://www.youtube.com/watch?v=1vVU-OrQCxo,low
